checkpoint,size_bytes,size_mib,modified,sha256
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/best_ddp_resnet18_rice.pt,44804875,42.7293,2026-07-14T12:28:00,2ad56c3acad84fb03c373a015c4c3dd080ab05370b4b3d908e8c5e89e359b413
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_1.pt,44804299,42.7287,2026-07-14T12:27:59,0376125e75fe2e0a2fb1c82c97291524082aaa770563ced09586102088a8b951
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_2.pt,44804299,42.7287,2026-07-14T12:28:13,58bf71da95bb1837014a9f3287d0d12901ebb4f49eda00afcadce60407012e19
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_3.pt,44804299,42.7287,2026-07-14T12:28:27,3081656b866028f923ddb75e449672f4e1f40bc88ff8506a3d31f0b946b7f533
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_4.pt,44804299,42.7287,2026-07-14T12:28:41,02a17d175034e37f23394edea864163b73ec8ff0db9dae51ee55f381345b1755
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_5.pt,44804299,42.7287,2026-07-14T12:28:54,2ddfd78bde9ada26ebe00fb84157a351c7c69278aef592c4b049f87948c5e295
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_6.pt,44804299,42.7287,2026-07-14T12:29:08,701d29cbf5cc080fc7d002b7404ae26038ba1f80e5268481663cc18a34dd5b1b
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_7.pt,44804299,42.7287,2026-07-14T12:29:22,75b0bab2f148825e554521be97241dd7b69e4c8b725305ba000e255f461e68dc
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18/ddp_global_epoch_8.pt,44804299,42.7287,2026-07-14T12:29:36,a31ee458ec815874d7b15d2cf4c8dae55afd780655807a80dcd6bb8ffe80beaf
/scratch/project_2019765/fnaveed/results/rice_ddp_resnet18_smoke/best_ddp_resnet18_rice.pt,44804875,42.7293,2026-07-14T12:22:20,39106158c5c606e42502da939de4f41d258a9f73a02b2423127934390085cd32
