relative_path,top_level,filename,extension,category,size_bytes,size_mb,modified_utc
apptainer/build_roihu_image.sh,apptainer,build_roihu_image.sh,.sh,code/script,397,0.0004,2026-07-30T14:42:19.271719+00:00
apptainer/federated_fl.def,apptainer,federated_fl.def,.def,other,398,0.0004,2026-07-30T14:42:19.278426+00:00
collect_paper_experiment_audit.sh,(repository root),collect_paper_experiment_audit.sh,.sh,code/script,19664,0.0188,2026-07-30T14:42:19.358925+00:00
configs/classes.json,configs,classes.json,.json,structured data,130,0.0001,2026-07-30T14:42:19.367319+00:00
configs/federated.example.yaml,configs,federated.example.yaml,.yaml,structured data,896,0.0009,2026-07-30T14:42:19.374740+00:00
configs/mobilenetv2_smoke_local.yaml,configs,mobilenetv2_smoke_local.yaml,.yaml,structured data,625,0.0006,2026-07-30T14:42:19.424840+00:00
containerized_fl/__init__.py,containerized_fl,__init__.py,.py,code/script,0,0.0,2026-07-30T14:42:19.438615+00:00
containerized_fl/client/__init__.py,containerized_fl,__init__.py,.py,code/script,0,0.0,2026-07-30T14:42:19.453515+00:00
containerized_fl/client/client.py,containerized_fl,client.py,.py,code/script,5117,0.0049,2026-07-30T14:42:19.463902+00:00
containerized_fl/README.md,containerized_fl,README.md,.md,text/documentation,855,0.0008,2026-07-30T14:42:19.433970+00:00
containerized_fl/requirements.txt,containerized_fl,requirements.txt,.txt,text/documentation,89,0.0001,2026-07-30T14:42:19.468812+00:00
containerized_fl/server/__init__.py,containerized_fl,__init__.py,.py,code/script,0,0.0,2026-07-30T14:42:19.561446+00:00
containerized_fl/server/server.py,containerized_fl,server.py,.py,code/script,3458,0.0033,2026-07-30T14:42:19.570071+00:00
containerized_fl/shared/__init__.py,containerized_fl,__init__.py,.py,code/script,0,0.0,2026-07-30T14:42:19.578669+00:00
docker/docker-compose.yml,docker,docker-compose.yml,.yml,structured data,2170,0.0021,2026-07-30T14:42:19.613569+00:00
docker/Dockerfile.fl,docker,Dockerfile.fl,.fl,other,449,0.0004,2026-07-30T14:42:19.607241+00:00
docker/run-local.sh,docker,run-local.sh,.sh,code/script,419,0.0004,2026-07-30T14:42:19.690550+00:00
docs/DATA_CONTRACT.md,docs,DATA_CONTRACT.md,.md,text/documentation,487,0.0005,2026-07-30T14:42:19.697562+00:00
experiments/results/provenance/checkpoint_inventory.csv,experiments,checkpoint_inventory.csv,.csv,tabular data,9763,0.0093,2026-07-30T14:42:19.732621+00:00
experiments/results/provenance/rice_grouped_split/split_summary.json,experiments,split_summary.json,.json,structured data,980,0.0009,2026-07-30T14:42:19.753960+00:00
experiments/results/provenance/wheat_grouped_split_v2/class_allocation.csv,experiments,class_allocation.csv,.csv,tabular data,458,0.0004,2026-07-30T14:42:19.811682+00:00
experiments/results/provenance/wheat_grouped_split_v2/metadata.json,experiments,metadata.json,.json,structured data,641,0.0006,2026-07-30T14:42:19.824986+00:00
experiments/results/README.md,experiments,README.md,.md,text/documentation,1284,0.0012,2026-07-30T14:42:19.718348+00:00
experiments/results/rice/rice_dataset_validation/cross_split_exact_duplicates.json,experiments,cross_split_exact_duplicates.json,.json,structured data,2,0.0,2026-07-30T14:42:19.855773+00:00
experiments/results/rice/rice_dataset_validation/exact_duplicate_summary.json,experiments,exact_duplicate_summary.json,.json,structured data,193,0.0002,2026-07-30T14:42:19.869624+00:00
experiments/results/rice/rice_dataset_validation/perceptual_duplicate_candidates.json,experiments,perceptual_duplicate_candidates.json,.json,structured data,2,0.0,2026-07-30T14:42:19.923919+00:00
experiments/results/rice/rice_dataset_validation/perceptual_duplicate_summary.json,experiments,perceptual_duplicate_summary.json,.json,structured data,153,0.0001,2026-07-30T14:42:19.936186+00:00
experiments/results/rice/rice_ddp_resnet18/evaluation/evaluation_metrics.json,experiments,evaluation_metrics.json,.json,structured data,5040,0.0048,2026-07-30T14:42:19.968163+00:00
experiments/results/rice/rice_ddp_resnet18/evaluation/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,231,0.0002,2026-07-30T14:42:19.985942+00:00
experiments/results/rice/rice_ddp_resnet18/evaluation/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:19.998493+00:00
experiments/results/rice/rice_ddp_resnet18/evaluation/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,107553,0.1026,2026-07-30T14:42:20.018409+00:00
