relative_path,file_type,size_kb,sha256,rows,columns,detected_role,chart_use,caution,read_status,error
experiments/results/provenance/rice_grouped_split/split_summary.json,.json,0.96,1f5ec7b4a582656171e8ef81100a6d0d0a0963437e00a9b1af7707e521ac62bd,,,Rice group-aware split metadata,Train/validation/test split chart and capture-group-overlap summary,"This is split metadata, not a category distribution.",read,
experiments/results/provenance/wheat_grouped_split_v2/class_allocation.csv,.csv,0.45,45130190071acbc9d544911bd4ac644cb95338f646cac1e3c2dc5da051c9c644,8.0,"label, total_images, total_groups, validation_images, validation_groups, validation_image_fraction, validation_group_fraction",Wheat class allocation,Wheat full-dataset class-count bar chart,"Confirm which columns are full dataset, validation and test allocations.",read,
experiments/results/provenance/wheat_grouped_split_v2/metadata.json,.json,0.63,9637ad1056c6f812f675cf695f9cded2bf70b41ff4d59a52fa12f568854f96c6,,,Candidate research artifact,Inspect before assigning a chart,No automatic scientific interpretation was applied.,read,
experiments/results/rice/rice_fedavg_iid_mobilenetv2/metrics.json,.json,3.98,e57c21f42dd92ce8495e9615cf2ebd0bf510023b41c99a8ece5987844d6e95bc,,,FedAvg round history,"Round-by-round Accuracy, Balanced Accuracy and Macro-F1",Confirm these are validation metrics and label the graph.,read,
experiments/results/rice/rice_fedavg_iid_resnet18/metrics.json,.json,3.96,a6d8b4612a2fb110253215258c05222782aacdc06b0d607a3d7ef8ce1d094ab2,,,FedAvg round history,"Round-by-round Accuracy, Balanced Accuracy and Macro-F1",Confirm these are validation metrics and label the graph.,read,
experiments/results/rice/rice_fedavg_noniid_mobilenetv2/metrics.json,.json,4.0,806fb52d43bb3dfa6a8a37fc58cd238315f894758222ad34bec26c17987ef838,,,FedAvg round history,"Round-by-round Accuracy, Balanced Accuracy and Macro-F1",Confirm these are validation metrics and label the graph.,read,
experiments/results/rice/rice_fedavg_noniid_resnet18/metrics.json,.json,3.99,34408eb2887ea388dd715028e6d8c7e0cbba4a0efafc1a065a22b64b331f7c2f,,,FedAvg round history,"Round-by-round Accuracy, Balanced Accuracy and Macro-F1",Confirm these are validation metrics and label the graph.,read,
experiments/results/rice/rice_resnet18_grouped_v1/split_summary.json,.json,0.96,1f5ec7b4a582656171e8ef81100a6d0d0a0963437e00a9b1af7707e521ac62bd,,,Candidate research artifact,Inspect before assigning a chart,No automatic scientific interpretation was applied.,read,
experiments/results/tables/rice_architecture_evaluation.csv,.csv,0.4,05dc45c981c36e369e4d60158a4c16402847b2932510cb8991e420c448577d42,6.0,"model, split, num_images, accuracy, balanced_accuracy, macro_f1, weighted_f1",Centralized architecture comparison,"Bar chart comparing ResNet18, MobileNetV2 and EfficientNetB0",Use one canonical copy if duplicate hashes match.,read,
results/Reports/FinalReportArchive/tables/rice_architecture_evaluation.csv,.csv,0.4,05dc45c981c36e369e4d60158a4c16402847b2932510cb8991e420c448577d42,6.0,"model, split, num_images, accuracy, balanced_accuracy, macro_f1, weighted_f1",Centralized architecture comparison,"Bar chart comparing ResNet18, MobileNetV2 and EfficientNetB0",Use one canonical copy if duplicate hashes match.,read,
results/Rice/Centralized/ResNet18/seed42/split_summary.json,.json,0.96,1f5ec7b4a582656171e8ef81100a6d0d0a0963437e00a9b1af7707e521ac62bd,,,Candidate research artifact,Inspect before assigning a chart,No automatic scientific interpretation was applied.,read,
results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,.csv,0.8,92c3ce0f7e7cd2c5760cf7083a03b87df9b6da8d5d0d67380a2a43b3727bae27,12.0,"Approach, Data setting, Backbone, Accuracy, Balanced Acc., Macro-F1, Evaluation basis",Final alpha=0.5 comparison table,"Primary grouped bar of Accuracy, Balanced Accuracy and Macro-F1",Verify whether FedPer/FedRep rows are client means or individual clients.,read,
results/Rice/SupportingEvidence/ResNet18Proof/split_summary.json,.json,0.96,1f5ec7b4a582656171e8ef81100a6d0d0a0963437e00a9b1af7707e521ac62bd,,,Candidate research artifact,Inspect before assigning a chart,No automatic scientific interpretation was applied.,read,
