relative_path,detected_metric_terms,detected_experiment_terms,scan_status,error
experiments/results/README.md,"runtime, weight","centralized, distributed, efficientnet, iid, mobilenetv2, non-iid, resnet18",read,
paper/audit/01_result_files.txt,weight,"ddp, efficientnet, fedavg, iid, mobilenetv2, resnet18",read,
paper/audit/02_all_metrics.txt,"acc, accuracy, f1, macro_f1, precision, recall, seconds, support, weight","centralized, ddp, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18",read,
paper/audit/03_hyperparameters.txt,"client_weight, entropy, loss, runtime, weight","alpha, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, non_iid, resnet18, round",read,
paper/audit/03a_federated_config.txt,"client_weight, loss, runtime, weight","alpha, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, non_iid, resnet18, round",read,
paper/audit/03b_ddp_config.txt,"loss, runtime, weight","alpha, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, resnet18, round",read,
paper/audit/03c_centralized_config.txt,"entropy, loss, weight","alpha, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18, round",read,
paper/audit/04_version_progression.txt,"loss, weight","centralized, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18, round",read,
paper/audit_20260714_200536/01_result_files.txt,weight,"ddp, efficientnet, fedavg, iid, mobilenetv2, resnet18",read,
paper/audit_20260714_200536/02_all_metrics.txt,"acc, accuracy, f1, macro_f1, precision, recall, seconds, support, weight","centralized, ddp, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18",read,
paper/audit_20260714_200536/03_hyperparameters.txt,"bytes, client_weight, entropy, f1, loss, macro_f1, runtime, train_loss, weight","alpha, centralized, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, non_iid, resnet18, round",read,
paper/audit_20260714_200536/03a_federated_config.txt,"bytes, client_weight, entropy, f1, loss, macro_f1, runtime, train_loss, weight","alpha, centralized, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, non_iid, resnet18, round",read,
paper/audit_20260714_200536/03b_ddp_config.txt,"bytes, entropy, f1, loss, runtime, train_loss, weight","alpha, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, resnet18, round",read,
paper/audit_20260714_200536/03c_centralized_config.txt,"entropy, f1, loss, train_loss, weight","alpha, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18, round",read,
paper/audit_20260714_200536/04_version_progression.txt,"loss, weight","centralized, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18, round",read,
paper/audit_20260714_200536/04a_experiment_directories.txt,weight,"ddp, efficientnet, fedavg, iid, mobilenetv2, resnet18",read,
paper/audit_20260714_200536/05_git_chronology.txt,,"centralized, ddp",read,
paper/audit_20260714_200536/05a_git_files_chronology.txt,weight,"centralized, ddp, distributed, efficientnet, fedavg, iid, mobilenetv2, resnet18, round",read,
paper/audit_20260714_200536/06_failed_and_incomplete.txt,"entropy, f1, loss, macro_f1, precision, train_loss, weight","centralized, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, resnet18, round",read,
paper/audit_20260714_200536/06a_cross_dataset_transfer.txt,"communication, f1, macro_f1, precision, recall, weight","centralized, client, ddp, distributed, efficientnet, epoch, fedavg, iid, mobilenetv2, resnet18, round",read,
paper/audit_20260714_200536/07_dataset_details.txt,"runtime, seconds, weight","client, ddp, distributed, efficientnet, epoch, fedavg, mobilenetv2, resnet18, round",read,
paper/audit_20260714_200536/07a_class_mappings.txt,weight,"ddp, distributed, efficientnet, fedavg, mobilenetv2, resnet18",read,
paper/audit_20260714_200536/08_rice_seed_files.txt,,"ddp, fedavg, iid, mobilenetv2, resnet18",read,
paper/audit_20260714_200536/08a_rice_seed_contents.txt,"acc, accuracy, f1, loss, macro_f1, precision, recall, seconds, support, train_loss, weight","alpha, client, ddp, epoch, fedavg, iid, mobilenetv2, non-iid, resnet18, round",read,
paper/audit_20260714_200536/09_documentation_inventory.txt,,"centralized, ddp, resnet18",read,
paper/audit_20260714_200536/10_repository_tree.txt,weight,"client, ddp, efficientnet, fedavg, iid, mobilenetv2, resnet18",read,
results/ProjectMetadata/DuplicateAudit/duplicate_groups.txt,"acc, bytes, f1, support, weight","alpha, centralized, client, ddp, distributed, efficientnet, epoch, fedavg, fedper, fedrep, iid, mobilenetv2, resnet18, round",read,
results/ProjectMetadata/PreviousRunMetadata/repository_state.txt,f1,"fedper, fedrep, iid, mobilenetv2",read,
results/README.md,communication,"alpha, centralized, client, ddp, fedavg, fedper, fedrep, iid, non-iid",read,
results/README_RESULTS.txt,support,"alpha, centralized, client, ddp, fedavg, fedper, fedrep, iid",read,
results/Reports/FinalReportArchive/result_inventory.txt,weight,"ddp, efficientnet, epoch, fedavg, iid, mobilenetv2, resnet18, round",read,
results/Rice/Federated/Summaries/NonIID_alpha_comparison_MobileNetV2/README.md,"communication, f1, macro-f1","alpha, client, fedavg, fedper, fedrep, iid, mobilenetv2, non-iid, round",read,
results/Rice/Federated/Summaries/Presentation_tables/PRESENTATION_EXPLANATION.md,"f1, macro-f1","alpha, centralized, client, distributed, fedavg, fedper, fedrep, iid, mobilenetv2, non-iid, resnet18",read,
results/Rice/Federated/Summaries/Presentation_tables/README.md,"f1, macro-f1","alpha, fedavg, fedper, fedrep, mobilenetv2",read,
results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.md,"acc, accuracy, f1, macro-f1","centralized, client, ddp, distributed, efficientnet, fedavg, fedper, fedrep, iid, mobilenetv2, non-iid, resnet18",read,
results/Rice/Federated/Summaries/Presentation_tables/table_2_alpha0p1_comparison.md,"acc, f1, macro-f1","alpha, client, fedavg, fedper, fedrep, iid, mobilenetv2, non-iid, round",read,
results/Rice/SupportingEvidence/ResNet18Proof/RESULT_SUMMARY.txt,"acc, accuracy, f1, macro-f1, weight","epoch, resnet18",read,
