chart_id,title,png_path,pdf_path,source_files,dashboard_page,description
dataset_rice_group_aware_split,Rice capture-group-aware classification split,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/dataset_rice_group_aware_split.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/dataset_rice_group_aware_split.pdf,experiments/results/provenance/rice_grouped_split/split_summary.json,Dataset Explorer,"Training, validation and test image counts from the verified group-aware rice split."
dataset_wheat_category_allocation,Wheat category allocation in the development pool,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/dataset_wheat_category_allocation.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/dataset_wheat_category_allocation.pdf,experiments/results/provenance/wheat_grouped_split_v2/class_allocation.csv,Dataset Explorer,Wheat category percentages and counts using the verified class-allocation file.
results_centralized_architecture_test_metrics,Centralized rice architecture comparison on the test set,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_centralized_architecture_test_metrics.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_centralized_architecture_test_metrics.pdf,experiments/results/tables/rice_architecture_evaluation.csv,Experiment Comparison,"Test Accuracy, Balanced Accuracy and Macro-F1 for ResNet18, MobileNetV2 and EfficientNetB0."
results_global_models_macro_f1,Global-model rice performance,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_global_models_macro_f1.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_global_models_macro_f1.pdf,results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,Experiment Comparison,"Centralized, DDP and FedAvg Macro-F1 results. Personalized client means are intentionally excluded."
results_personalized_methods_macro_f1,Personalized federated performance,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_personalized_methods_macro_f1.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_personalized_methods_macro_f1.pdf,results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,Experiment Comparison,FedPer and FedRep Macro-F1 values reported as means of three personalized clients.
results_fedavg_macro_f1,FedAvg rice comparison,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_fedavg_macro_f1.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_fedavg_macro_f1.pdf,results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,Experiment Comparison,FedAvg Macro-F1 comparison across the recorded data settings and backbones.
results_fedper_macro_f1,FedPer rice comparison,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_fedper_macro_f1.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_fedper_macro_f1.pdf,results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,Experiment Comparison,FedPer Macro-F1 comparison across the recorded data settings and backbones.
results_fedrep_macro_f1,FedRep rice comparison,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_fedrep_macro_f1.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/results_fedrep_macro_f1.pdf,results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,Experiment Comparison,FedRep Macro-F1 comparison across the recorded data settings and backbones.
clients_fedavg_validation_macro_f1_by_round,FedAvg validation Macro-F1 over five rounds,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/clients_fedavg_validation_macro_f1_by_round.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/clients_fedavg_validation_macro_f1_by_round.pdf,experiments/results/rice/rice_fedavg_iid_mobilenetv2/metrics.json; experiments/results/rice/rice_fedavg_noniid_mobilenetv2/metrics.json; experiments/results/rice/rice_fedavg_iid_resnet18/metrics.json; experiments/results/rice/rice_fedavg_noniid_resnet18/metrics.json,Federated Client Analysis,Validation convergence for ResNet18 and MobileNetV2 under IID and non-IID alpha=0.5 partitions.
clients_iid_vs_noniid_sample_counts,Images assigned to federated clients,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/clients_iid_vs_noniid_sample_counts.png,/mnt/c/Users/fajrn/Desktop/GrainClassification/Grain-Federated-Learning-Classification-/streamlit-ui/streamlit-ui/assets/generated_charts/clients_iid_vs_noniid_sample_counts.pdf,experiments/results/rice/rice_fedavg_iid_mobilenetv2/metrics.json; experiments/results/rice/rice_fedavg_noniid_mobilenetv2/metrics.json,Federated Client Analysis,Client training-image totals for IID and non-IID alpha=0.5 MobileNetV2 FedAvg partitions.
